,source,active,quantity,quantity_annual,quantity_cumulative,cost,cost_annual,cost_cumulative,t_interval,consequence-cost
288,inspection_protection,False,,,,,,,60.0,0.0
289,inspection_protection,True,1.0,0.0011224037398492612,74.02499999999999,0.0,0.0,0.0,60.0,0.0
290,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0
291,pole_saver_rod,True,,,,,,,60.0,0.0
292,termite_treatment,False,,,,,,,60.0,0.0
293,termite_treatment,True,0.04,4.489614959397044e-05,0.195,4.0,0.004489614959397045,19.5,60.0,0.0
294,risk,False,,,,,,,63.0,0.0
295,risk,True,0.005,5.557253605268277e-06,0.035,0.0,0.0,0.0,63.0,0.0
296,conditional_failure,False,,,,,,,63.0,0.0
297,conditional_failure,True,0.02,2.2229014421073107e-05,0.2000000000000001,70.0,0.07780155047375586,700.0,63.0,0.0
298,functional_failure,False,,,,,,,63.0,0.0
299,functional_failure,True,0.005,5.557253605268277e-06,0.035,35.0,0.03890077523687793,245.0,63.0,0.0
300,inspection_groundline,False,,,,,,,63.0,0.0
301,inspection_groundline,True,0.975,0.0010836644530273138,11.240000000000002,48.75,0.054183222651365694,562.0,63.0,0.0
302,inspection_protection,False,,,,,,,63.0,0.0
303,inspection_protection,True,1.0,0.0011114507210536553,74.62500000000001,0.0,0.0,0.0,63.0,0.0
304,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0
305,pole_saver_rod,True,,,,,,,63.0,0.0
306,termite_treatment,False,,,,,,,63.0,0.0
307,termite_treatment,True,0.03,3.3343521631609654e-05,0.245,3.0,0.0033343521631609657,24.5,63.0,0.0
308,risk,False,,,,,,,66.0,0.0
309,risk,True,0.005,5.444458358060249e-06,0.02,0.0,0.0,0.0,66.0,0.0
310,conditional_failure,False,,,,,,,66.0,0.0
311,conditional_failure,True,0.025,2.7222291790301242e-05,0.2550000000000001,87.5,0.09527802126605435,892.5,66.0,0.0
312,functional_failure,False,,,,,,,66.0,0.0
313,functional_failure,True,0.005,5.444458358060249e-06,0.02,35.0,0.03811120850642174,140.0,66.0,0.0
314,inspection_groundline,False,,,,,,,66.0,0.0
